Eisendüngeform;Eisendüngung;Zn_blanchiert;Zn_ungewaschen;Fe_blanchiert;Fe_ungewaschen
Kontrolle;0;0,200812107;29,14804716;0,504227589;55,02766044
;0;0,366159383;47,1731889;0,69701417;64,43934069
;0;0,228591162;30,15629312;0,50614878;55,76047989
;0;0,277472728;33,72654582;0,561436478;57,13534983
Fe-EDDHA;0,2;0,249130105;36,25573408;0,668972729;73,05107998
;0,2;0,21136061;27,43406925;0,704316743;74,86142657
;0,2;0,203851077;30,77268919;0,761707418;74,79853134
;0,2;0,184400392;27,29486267;0,712310411;80,02250016
Fe-EDDHA;0,3;0,199695055;33,61657578;0,549828266;71,04644843
;0,3;0,243059909;32,20446644;0,652770504;69,1572913
;0,3;0,2025479;31,96753036;0,795825791;95,16220627
;0,3;0,236580137;29,26316447;0,895810966;89,673884
Fe-EDDHA;0,4;0,202508968;29,68890223;0,832065623;85,22127367
;0,4;0,412565554;33,83606813;0,812948168;95,6993754
;0,4;0,232887933;36,00974028;0,857598195;97,01997504
;0,4;0,256615613;34,84240944;0,898852735;91,75957623
Fe-EDDHA;0,6;0,370367629;29,68549927;0,929894594;99,35955207
;0,6;0,237987726;29,94503668;0,884898478;102,9337512
;0,6;0,198337596;24,93525133;0,884096374;107,6550165
;0,6;0,190284678;28,19834042;0,89547361;103,0027214
FeSO4  7 H2O;0,2;0,201852478;26,94466724;0,562055066;64,56368298
;0,2;0,194310401;28,9846559;0,554437486;64,822379
;0,2;0,20539581;32,71017602;0,801145631;85,31974066
;0,2;0,181505305;28,40893126;0,784593551;89,46050134
FeSO4  7 H2O;0,3;0,215124099;27,13016435;0,963892227;98,82334466
;0,3;0,212998016;26,95233893;0,825475272;81,31359389
;0,3;0,256689668;34,48952084;1,000841461;78,20376104
;0,3;0,254325065;41,36806085;0,821078288;84,89446972
FeSO4  7 H2O;0,4;0,187299844;27,6463539;0,776242636;83,75166403
;0,4;0,250165837;39,21251869;1,06221101;80,10842262
;0,4;0,238631741;32,18882602;0,861421616;86,58690379
;0,4;0,197151436;26,16177278;0,871815555;96,6703116
FeSO4  7 H2O;0,6;0,210596124;36,04897143;1,081206117;135,7048419
;0,6;0,240697256;30,59236213;1,262982087;119,9158732
;0,6;0,330601328;34,8112802;1,286240764;124,1648718
;0,6;0,17710333;26,97704551;1,158186448;136,4458941
